Location,Latitude,Longitude,Free Bikes,Coordinates,Station Name,Station Coordinates,Bikes Available,Name,Address,Rating
Chilco & Barclay,49.291909,-123.140713,13.0,"(49.291909, -123.140713)",,,,,,
St George & Broadway,49.262321,-123.09306,0.0,"(49.262321, -123.09306)",,,,,,
Britannia Parking Lot,49.275882,-123.071865,0.0,"(49.275882, -123.071865)",,,,,,
Morton & Denman,49.28803,-123.142135,16.0,"(49.28803, -123.142135)",,,,,,
Thornton & National,49.273777,-123.092723,14.0,"(49.273777, -123.092723)",,,,,,
Burrard & 14th,49.259469,-123.145718,1.0,"(49.259469, -123.145718)",,,,,,
Olympic Village Station,49.266314,-123.116011,11.0,"(49.266314, -123.116011)",,,,,,
8th & Macdonald,49.264928,-123.168068,4.0,"(49.264928, -123.168068)",,,,,,
30th & Ontario,49.243375,-123.104978,3.0,"(49.243375, -123.104978)",,,,,,
Lakewood & Triumph,49.283968,-123.061615,3.0,"(49.283968, -123.061615)",,,,,,
13th & Cambie,49.259579,-123.114769,7.0,"(49.259579, -123.114769)",,,,,,
Arbutus & Nanton,49.247854,-123.153422,14.0,"(49.247854, -123.153422)",,,,,,
14th & Fraser,49.257939,-123.089531,3.0,"(49.257939, -123.089531)",,,,,,
15th & Victoria (Trout Lake),49.256857,-123.065646,5.0,"(49.256857, -123.065646)",,,,,,
Robson & Hornby,49.282758,-123.122092,11.0,"(49.282758, -123.122092)",,,,,,
Cardero & Robson,49.289255,-123.132677,13.0,"(49.289255, -123.132677)",,,,,,
1st & Scotia,49.2685027,-123.0975014,16.0,"(49.2685027, -123.0975014)",,,,,,
10th & Fraser,49.26151,-123.089413,2.0,"(49.26151, -123.089413)",,,,,,
Ontario & 5th,49.266724,-123.104824,13.0,"(49.266724, -123.104824)",,,,,,
Heather & 16th,49.256845,-123.120071,1.0,"(49.256845, -123.120071)",,,,,,
Richards & Smithe,49.279259,-123.119145,1.0,"(49.279259, -123.119145)",,,,,,
Robson & Beatty,49.277773,-123.114237,16.0,"(49.277773, -123.114237)",,,,,,
Maple Tree Square,49.283482,-123.103738,7.0,"(49.283482, -123.103738)",,,,,,
22nd & Main,49.25094,-123.101306,1.0,"(49.25094, -123.101306)",,,,,,
Carrall & Seawall,49.276294,-123.106534,4.0,"(49.276294, -123.106534)",,,,,,
Charles & Woodland,49.2731,-123.0732,1.0,"(49.2731, -123.0732)",,,,,,
1st & Manitoba,49.27023,-123.10651,17.0,"(49.27023, -123.10651)",,,,,,
St Catherines & 7th,49.264466,-123.085183,17.0,"(49.264466, -123.085183)",,,,,,
Triumph & Victoria,49.283986,-123.065264,2.0,"(49.283986, -123.065264)",,,,,,
18th & Main,49.254667,-123.101389,2.0,"(49.254667, -123.101389)",,,,,,
St Catherines & 10th,49.261353,-123.085333,0.0,"(49.261353, -123.085333)",,,,,,
Nelson & Richards,49.277844,-123.120942,1.0,"(49.277844, -123.120942)",,,,,,
Arbutus & 10th,49.262835,-123.152626,6.0,"(49.262835, -123.152626)",,,,,,
Comox & Denman,49.288444,-123.139203,11.0,"(49.288444, -123.139203)",,,,,,
Prince Edward & 14th,49.258352,-123.096337,1.0,"(49.258352, -123.096337)",,,,,,
Alexander & Railway,49.283992,-123.091206,7.0,"(49.283992, -123.091206)",,,,,,
Chilco & Beach,49.28972,-123.144028,10.0,"(49.28972, -123.144028)",,,,,,
Richards & Cordova,49.284554,-123.111031,14.0,"(49.284554, -123.111031)",,,,,,
Agronomy & East Mall,49.2617360647494,-123.246483808594,15.0,"(49.2617360647494, -123.246483808594)",,,,,,
Orchard Commons,49.259999,-123.250902,10.0,"(49.259999, -123.250902)",,,,,,
Yew & Broadway,49.263523,-123.155267,2.0,"(49.263523, -123.155267)",,,,,,
Woodland & 10th,49.261263,-123.073707,5.0,"(49.261263, -123.073707)",,,,,,
Ontario & 16th,49.256825,-123.105234,0.0,"(49.256825, -123.105234)",,,,,,
14th & Alder,49.258819,-123.131317,2.0,"(49.258819, -123.131317)",,,,,,
Chestnut & McNicoll,49.275938,-123.145939,4.0,"(49.275938, -123.145939)",,,,,,
Dunbar & 6th,49.266636,-123.183661,16.0,"(49.266636, -123.183661)",,,,,,
Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2.0,"(49.299292, -123.130281)",,,,,,
Yaletown-Roundhouse Station,49.274566,-123.121817,8.0,"(49.274566, -123.121817)",,,,,,
Smithe & Burrard,49.282503,-123.124697,5.0,"(49.282503, -123.124697)",,,,,,
Abbott & Cordova,49.282759,-123.106955,13.0,"(49.282759, -123.106955)",,,,,,
Sasamat & 10th,49.264019,-123.209176,7.0,"(49.264019, -123.209176)",,,,,,
Vine & 4th,49.268339,-123.157443,1.0,"(49.268339, -123.157443)",,,,,,
10th & Ontario,49.262062,-123.104656,1.0,"(49.262062, -123.104656)",,,,,,
Pine & 10th,49.262822,-123.14338,1.0,"(49.262822, -123.14338)",,,,,,
Wallace & 4th,49.268974,-123.190701,6.0,"(49.268974, -123.190701)",,,,,,
Pacific & Richards,49.273663,-123.127075,5.0,"(49.273663, -123.127075)",,,,,,
7th &  Alder,49.265198,-123.131043,2.0,"(49.265198, -123.131043)",,,,,,
Canada Place,49.287214,-123.11287,9.0,"(49.287214, -123.11287)",,,,,,
Heather & 18th,49.255034,-123.120226,4.0,"(49.255034, -123.120226)",,,,,,
14th & Oak,49.258761,-123.127071,0.0,"(49.258761, -123.127071)",,,,,,
Bute & Comox,49.283343,-123.131099,7.0,"(49.283343, -123.131099)",,,,,,
Comox & Broughton,49.285253,-123.134356,0.0,"(49.285253, -123.134356)",,,,,,
Station & Terminal,49.272172,-123.097978,8.0,"(49.272172, -123.097978)",,,,,,
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,11.0,"(49.302577, -123.155616)",,,,,,
Woodland & 4th,49.266751,-123.073501,0.0,"(49.266751, -123.073501)",,,,,,
8th & Ash,49.264215,-123.117772,2.0,"(49.264215, -123.117772)",,,,,,
Burrard & Drake,49.27808,-123.130557,0.0,"(49.27808, -123.130557)",,,,,,
10th & Kingsway,49.261973,-123.09725,1.0,"(49.261973, -123.09725)",,,,,,
10th & Oak,49.262255,-123.126217,1.0,"(49.262255, -123.126217)",,,,,,
Hawks & Union,49.277333,-123.087359,9.0,"(49.277333, -123.087359)",,,,,,
Marinaside & Cooperage,49.273833,-123.114373,22.0,"(49.273833, -123.114373)",,,,,,
Alberni & Jervis,49.28763,-123.127245,13.0,"(49.28763, -123.127245)",,,,,,
7th & Arbutus,49.265605,-123.152566,7.0,"(49.265605, -123.152566)",,,,,,
14th & Ontario,49.25849,-123.104799,1.0,"(49.25849, -123.104799)",,,,,,
King Edward & Cambie,49.249184,-123.116141,1.0,"(49.249184, -123.116141)",,,,,,
1st & Fir,49.270783,-123.141564,7.0,"(49.270783, -123.141564)",,,,,,
Arbutus & 16th,49.257654,-123.153212,1.0,"(49.257654, -123.153212)",,,,,,
War Memorial Gym,49.2665793,-123.2485487,3.0,"(49.2665793, -123.2485487)",,,,,,
28th & Willow,49.246243,-123.124373,9.0,"(49.246243, -123.124373)",,,,,,
Arbutus Greenway & Fir,49.266774,-123.141135,3.0,"(49.266774, -123.141135)",,,,,,
West Mall Swing Space Building,49.263073,-123.254307,18.0,"(49.263073, -123.254307)",,,,,,
McLean & Pender,49.280427,-123.074082,13.0,"(49.280427, -123.074082)",,,,,,
Bute & Barclay,49.284893,-123.128685,5.0,"(49.284893, -123.128685)",,,,,,
Balsam & Cornwall,49.273011,-123.159663,0.0,"(49.273011, -123.159663)",,,,,,
Hastings & Broughton,49.290112,-123.127062,17.0,"(49.290112, -123.127062)",,,,,,
Seymour & Cordova,49.28512,-123.11242,13.0,"(49.28512, -123.11242)",,,,,,
Alder & 11th,49.261742,-123.13148,0.0,"(49.261742, -123.13148)",,,,,,
10th & Columbia,49.262206,-123.109091,1.0,"(49.262206, -123.109091)",,,,,,
Heather & 14th,49.259183,-123.120126,1.0,"(49.259183, -123.120126)",,,,,,
Commercial & 20th,49.252656,-123.067965,1.0,"(49.252656, -123.067965)",,,,,,
Kitsilano Beach Park,49.273355,-123.154493,17.0,"(49.273355, -123.154493)",,,,,,
Rolston & Granville,49.274232,-123.129998,10.0,"(49.274232, -123.129998)",,,,,,
Cordova & Bute,49.289124,-123.12196,12.0,"(49.289124, -123.12196)",,,,,,
12th & Yukon (City Hall),49.260599,-123.113504,2.0,"(49.260599, -123.113504)",,,,,,
Blenheim & 4th,49.268837,-123.177633,9.0,"(49.268837, -123.177633)",,,,,,
Wylie & 2nd,49.267725,-123.11311,14.0,"(49.267725, -123.11311)",,,,,,
Thurlow & Pendrell,49.280881,-123.130672,0.0,"(49.280881, -123.130672)",,,,,,
14th & Cambie,49.258763,-123.115392,2.0,"(49.258763, -123.115392)",,,,,,
Granville & Georgia,49.282409,-123.118541,18.0,"(49.282409, -123.118541)",,,,,,
Grant & Commercial,49.271377,-123.069416,0.0,"(49.271377, -123.069416)",,,,,,
8th & Ontario,49.263837,-123.105173,3.0,"(49.263837, -123.105173)",,,,,,
Hornby & Nelson,49.28062,-123.12482,4.0,"(49.28062, -123.12482)",,,,,,
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,49.283227,-123.120523,7.0,"(49.283227, -123.120523)",,,,,,
Dunsmuir & Beatty,49.279764,-123.110154,16.0,"(49.279764, -123.110154)",,,,,,
Robson & Granville,49.281506,-123.120101,2.0,"(49.281506, -123.120101)",,,,,,
4th & Commercial,49.266969,-123.069936,0.0,"(49.266969, -123.069936)",,,,,,
8th & Scotia,49.263635,-123.099236,1.0,"(49.263635, -123.099236)",,,,,,
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3.0,"(49.279739, -123.116251)",,,,,,
7th & Granville,49.2653,-123.13811,5.0,"(49.2653, -123.13811)",,,,,,
Harwood & Bute,49.28026,-123.135244,2.0,"(49.28026, -123.135244)",,,,,,
Creekside Park North,49.2756,-123.102661,9.0,"(49.2756, -123.102661)",,,,,,
Nicola & Robson,49.2885056,-123.1312375,2.0,"(49.2885056, -123.1312375)",,,,,,
10th & Commercial,49.261403,-123.070102,7.0,"(49.261403, -123.070102)",,,,,,
10th & Cambie,49.262487,-123.114397,8.0,"(49.262487, -123.114397)",,,,,,
Quebec & 1st,49.27033,-123.10275,9.0,"(49.27033, -123.10275)",,,,,,
Lakewood & Oxford,49.285575,-123.061575,5.0,"(49.285575, -123.061575)",,,,,,
Carolina & Great Northern Way,49.267266,-123.090786,12.0,"(49.267266, -123.090786)",,,,,,
Columbia & 5th,49.266476,-123.109389,18.0,"(49.266476, -123.109389)",,,,,,
East Blvd & 37th,49.238105,-123.154966,13.0,"(49.238105, -123.154966)",,,,,,
Trafalgar & Cornwall,49.272969,-123.164325,5.0,"(49.272969, -123.164325)",,,,,,
5th & Arbutus,49.267222,-123.153157,3.0,"(49.267222, -123.153157)",,,,,,
Stanley Park - Information Booth,49.297933,-123.130758,1.0,"(49.297933, -123.130758)",,,,,,
14th & Main,49.258425,-123.100792,0.0,"(49.258425, -123.100792)",,,,,,
Georgia & Main,49.278529,-123.100017,17.0,"(49.278529, -123.100017)",,,,,,
Alma & Point Grey,49.27247,-123.185643,5.0,"(49.27247, -123.185643)",,,,,,
20th & Main,49.252691,-123.101289,4.0,"(49.252691, -123.101289)",,,,,,
Nelson & Mainland,49.276436,-123.11877,6.0,"(49.276436, -123.11877)",,,,,,
Point Grey & Blenheim,49.271471,-123.17731,9.0,"(49.271471, -123.17731)",,,,,,
Yukon & 6th,49.265939,-123.1129,12.0,"(49.265939, -123.1129)",,,,,,
Burrard & 7th,49.265336,-123.145823,3.0,"(49.265336, -123.145823)",,,,,,
14th & Granville,49.25894,-123.139272,5.0,"(49.25894, -123.139272)",,,,,,
Wall & Eton,49.287464,-123.060771,14.0,"(49.287464, -123.060771)",,,,,,
Beach & Cardero,49.283298,-123.142288,6.0,"(49.283298, -123.142288)",,,,,,
Cypress & 4th,49.268269,-123.147885,14.0,"(49.268269, -123.147885)",,,,,,
Bute & Robson,49.285836,-123.127265,0.0,"(49.285836, -123.127265)",,,,,,
Richards & Robson,49.280216,-123.117639,2.0,"(49.280216, -123.117639)",,,,,,
Glen & Union,49.277469,-123.081315,13.0,"(49.277469, -123.081315)",,,,,,
8th & Yukon,49.263962,-123.112621,0.0,"(49.263962, -123.112621)",,,,,,
1st & Chestnut,49.270721,-123.146175,22.0,"(49.270721, -123.146175)",,,,,,
10th & Main,49.262141,-123.101961,0.0,"(49.262141, -123.101961)",,,,,,
Georgia & Homer,49.280787,-123.115271,5.0,"(49.280787, -123.115271)",,,,,,
York & Yew,49.271741,-123.155421,12.0,"(49.271741, -123.155421)",,,,,,
Ontario & Seawall,49.271721,-123.104207,16.0,"(49.271721, -123.104207)",,,,,,
10th & Granville,49.262598,-123.138921,10.0,"(49.262598, -123.138921)",,,,,,
15th & Knight,49.256496,-123.075426,6.0,"(49.256496, -123.075426)",,,,,,
Ontario & 23rd,49.249722,-123.104991,0.0,"(49.249722, -123.104991)",,,,,,
Dunbar & Broadway,49.264579,-123.18373,25.0,"(49.264579, -123.18373)",,,,,,
Carrall & Hastings,49.28117,-123.104419,10.0,"(49.28117, -123.104419)",,,,,,
8th & Commercial,49.263242,-123.070521,9.0,"(49.263242, -123.070521)",,,,,,
Charleson Park,49.267628,-123.127698,8.0,"(49.267628, -123.127698)",,,,,,
Beach & Hornby,49.275295,-123.132585,18.0,"(49.275295, -123.132585)",,,,,,
Princess & Union,49.277615,-123.091654,6.0,"(49.277615, -123.091654)",,,,,,
3rd & Quebec,49.268216,-123.103168,10.0,"(49.268216, -123.103168)",,,,,,
Stanley Park - Second Beach South,49.294318,-123.148808,16.0,"(49.294318, -123.148808)",,,,,,
6th & Carolina,49.265213,-123.090785,0.0,"(49.265213, -123.090785)",,,,,,
UBC Bookstore,49.265207,-123.250139,4.0,"(49.265207, -123.250139)",,,,,,
Balaclava & Broadway,49.264483,-123.173926,14.0,"(49.264483, -123.173926)",,,,,,
Expo & Carrall,49.278004,-123.105664,14.0,"(49.278004, -123.105664)",,,,,,
Beach & Seymour,49.273568,-123.129935,9.0,"(49.273568, -123.129935)",,,,,,
27th & Main,49.247204,-123.101549,2.0,"(49.247204, -123.101549)",,,,,,
Stanley Park - Second Beach North,49.29534,-123.150433,14.0,"(49.29534, -123.150433)",,,,,,
Keith & 6th,49.265005,-123.079481,18.0,"(49.265005, -123.079481)",,,,,,
Jericho Beach,49.271221,-123.191133,6.0,"(49.271221, -123.191133)",,,,,,
Point Grey & Bayswater,49.271044,-123.170661,15.0,"(49.271044, -123.170661)",,,,,,
7th & Woodland,49.264251,-123.073853,6.0,"(49.264251, -123.073853)",,,,,,
Aquatic Centre,49.27821,-123.136972,5.0,"(49.27821, -123.136972)",,,,,,
Georgia & Thurlow,49.285953,-123.124066,2.0,"(49.285953, -123.124066)",,,,,,
Cordova & Granville,49.2856698,-123.1125432,12.0,"(49.2856698, -123.1125432)",,,,,,
Vanier Park,49.275717,-123.142564,16.0,"(49.275717, -123.142564)",,,,,,
Trafalgar & Broadway,49.264326,-123.164725,6.0,"(49.264326, -123.164725)",,,,,,
Napier & Commercial,49.274881,-123.069323,1.0,"(49.274881, -123.069323)",,,,,,
7th & Laurel,49.265071,-123.123864,0.0,"(49.265071, -123.123864)",,,,,,
Science World,49.273691,-123.102232,9.0,"(49.273691, -123.102232)",,,,,,
Pender & Victoria,49.280197,-123.065859,1.0,"(49.280197, -123.065859)",,,,,,
Cypress & 16th,49.25741,-123.148531,5.0,"(49.25741, -123.148531)",,,,,,
Spyglass & Seawall,49.270877,-123.115103,8.0,"(49.270877, -123.115103)",,,,,,
Keefer & Hawks,49.279235,-123.087528,15.0,"(49.279235, -123.087528)",,,,,,
29th & Cambie,49.245135,-123.116098,6.0,"(49.245135, -123.116098)",,,,,,
Victoria & 10th,49.261188,-123.066009,0.0,"(49.261188, -123.066009)",,,,,,
Commercial & Adanac,49.277436,-123.070427,0.0,"(49.277436, -123.070427)",,,,,,
Columbia & 14th,49.258902,-123.109596,0.0,"(49.258902, -123.109596)",,,,,,
Dunsmuir & Richards,49.282214,-123.114101,10.0,"(49.282214, -123.114101)",,,,,,
Campbell & Hastings,49.280852,-123.084746,7.0,"(49.280852, -123.084746)",,,,,,
Franklin & Nanaimo,49.282087,-123.056909,4.0,"(49.282087, -123.056909)",,,,,,
Charles & Commercial,49.273103,-123.069892,3.0,"(49.273103, -123.069892)",,,,,,
Strangway Building,49.2661087286495,-123.2456811408,6.0,"(49.2661087286495, -123.2456811408)",,,,,,
Beatty & Nelson,49.275679,-123.116963,3.0,"(49.275679, -123.116963)",,,,,,
Trimble & 8th,49.2658,-123.20596,10.0,"(49.2658, -123.20596)",,,,,,
David Lam Park,49.270905,-123.126006,18.0,"(49.270905, -123.126006)",,,,,,
Burrard & 4th,49.267859,-123.145782,8.0,"(49.267859, -123.145782)",,,,,,
Cypress & Cornwall,49.272827,-123.147744,20.0,"(49.272827, -123.147744)",,,,,,
Keefer & Princess,49.279369,-123.091241,0.0,"(49.279369, -123.091241)",,,,,,
Bidwell & Burnaby,49.28526,-123.141809,15.0,"(49.28526, -123.141809)",,,,,,
11th & Kingsway,49.261122,-123.097571,1.0,"(49.261122, -123.097571)",,,,,,
Pender & Burrard,49.287097,-123.118551,24.0,"(49.287097, -123.118551)",,,,,,
Columbia & 1st,49.269969,-123.109623,10.0,"(49.269969, -123.109623)",,,,,,
Melville & Bute,49.287782,-123.12395,14.0,"(49.287782, -123.12395)",,,,,,
Anderson & 2nd,49.269361,-123.13782,17.0,"(49.269361, -123.13782)",,,,,,
5th & Main,49.266456,-123.100324,4.0,"(49.266456, -123.100324)",,,,,,
Alexander & Dunlevy,49.284062,-123.095097,3.0,"(49.284062, -123.095097)",,,,,,
13th & St George,49.258817,-123.092797,3.0,"(49.258817, -123.092797)",,,,,,
Commercial & Pandora,49.283236,-123.070443,15.0,"(49.283236, -123.070443)",,,,,,
Grandview & Commercial,49.263746,-123.069892,14.0,"(49.263746, -123.069892)",,,,,,
Expo & Smithe,49.276115,-123.114496,11.0,"(49.276115, -123.114496)",,,,,,
Cypress & 14th,49.25919,-123.148268,3.0,"(49.25919, -123.148268)",,,,,,
Brock Commons,49.269172,-123.25279,1.0,"(49.269172, -123.25279)",,,,,,
Beach & Broughton,49.281301,-123.139108,11.0,"(49.281301, -123.139108)",,,,,,
Arbutus Greenway & 14th,49.258924,-123.152591,1.0,"(49.258924, -123.152591)",,,,,,
Alexander & Main,49.284157,-123.099917,14.0,"(49.284157, -123.099917)",,,,,,
Hornby & Drake,49.277178,-123.13,3.0,"(49.277178, -123.13)",,,,,,
Highbury & 8th,49.265442,-123.187738,13.0,"(49.265442, -123.187738)",,,,,,
Pharmaceutical Sciences,49.26262,-123.2431,2.0,"(49.26262, -123.2431)",,,,,,
Haro & Denman,49.290587,-123.13625,11.0,"(49.290587, -123.13625)",,,,,,
Windsor & 14th,49.257985,-123.083366,12.0,"(49.257985, -123.083366)",,,,,,
Prince Edward & 16th,49.256694,-123.096579,3.0,"(49.256694, -123.096579)",,,,,,
Cardero & Davie,49.285512,-123.1384,1.0,"(49.285512, -123.1384)",,,,,,
Stamps Landing,49.26893,-123.11813,6.0,"(49.26893, -123.11813)",,,,,,
Marinaside & Davie,49.273471,-123.118016,21.0,"(49.273471, -123.118016)",,,,,,
Adanac & McLean,49.277665,-123.073653,14.0,"(49.277665, -123.073653)",,,,,,
Bute & Davie,49.282055,-123.133045,2.0,"(49.282055, -123.133045)",,,,,,
Victoria & 4th,49.266725,-123.065925,5.0,"(49.266725, -123.065925)",,,,,,
Heather & 29th,49.245535,-123.120496,7.0,"(49.245535, -123.120496)",,,,,,
McNicoll & Arbutus,49.276292,-123.150592,12.0,"(49.276292, -123.150592)",,,,,,
Jervis & Robson,49.28691,-123.128818,1.0,"(49.28691, -123.128818)",,,,,,
IK Barber Learning Centre,49.267561,-123.252261,0.0,"(49.267561, -123.252261)",,,,,,
Granville Island,49.27029,-123.135025,14.0,"(49.27029, -123.135025)",,,,,,
6th & Prince Edward,49.265242,-123.095577,0.0,"(49.265242, -123.095577)",,,,,,
Broughton & Davie,49.283749,-123.136133,0.0,"(49.283749, -123.136133)",,,,,,
Adanac & Lakewood,49.27751,-123.061429,1.0,"(49.27751, -123.061429)",,,,,,
Cypress & 10th,49.262944,-123.148109,0.0,"(49.262944, -123.148109)",,,,,,
Thunderbird Parkade,49.261655,-123.241924,3.0,"(49.261655, -123.241924)",,,,,,
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,12.0,"(49.285871, -123.12105)",,,,,,
22nd & Cambie,49.251358,-123.115637,0.0,"(49.251358, -123.115637)",,,,,,
Glen & Broadway,49.262242,-123.081459,11.0,"(49.262242, -123.081459)",,,,,,
Stanley Park - Totem Poles,49.298657,-123.121176,0.0,"(49.298657, -123.121176)",,,,,,
Davie & Beach,49.287528,-123.142139,19.0,"(49.287528, -123.142139)",,,,,,
Pender & Gore,49.280284,-123.097052,6.0,"(49.280284, -123.097052)",,,,,,
Richards & Davie,49.275683,-123.124388,0.0,"(49.275683, -123.124388)",,,,,,
Pender & Commercial,49.280332,-123.070068,9.0,"(49.280332, -123.070068)",,,,,,
18th & Cambie,49.254818,-123.114785,0.0,"(49.254818, -123.114785)",,,,,,
2nd & Commercial,49.268616,-123.069908,2.0,"(49.268616, -123.069908)",,,,,,
